# gunzip -c exp/nnet4a/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/tri3c/graph 
# Started at Mon Jul  4 18:17:47 BRT 2016
#
The total amount of data analyzed assuming 100 frames per second is 0.1 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,4) and mean=1.8
Phone sil accounts for 66.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=2.0
Nonsilence phones as a group account for 33.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone a_I accounts for 2.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone ch_I accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone i_E accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone o_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone a_E accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone e_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone s_I accounts for 1.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone s_E accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone i_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone un_E accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone an_S accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone u_E accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,6) and mean=2.0
Phone r_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone s_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone a_B accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone y_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone t_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.1
Phone en_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.7
Phone m_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone f_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=1.9
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul  4 18:17:47 BRT 2016, elapsed time 0 seconds
